,CIK,Date,Amount A,Amount D,sec_alpha,PERMNO
3808,0000916540,2024-01,1156261.0,26213.0,1.1,80928
3809,0000916540,2024-02,8000.0,0.0,1.1,80928
3810,0000916540,2024-03,1656664.0,104235.0,1.1,80928
3811,0000916540,2024-05,30321.0,40772.0,0.9,80928
3812,0000916540,2024-08,3832.0,0.0,1.1,80928
3813,0000916540,2024-09,2754.0,0.0,1.1,80928
3814,0000921114,2018-03,646907.0,0.0,1.1,80577
3815,0000921114,2020-03,7717661.0,0.0,1.1,80577
3816,0000921114,2021-01,1867912.0,0.0,1.1,80577
3817,0000921114,2021-03,4285935.0,0.0,1.1,80577
3818,0000921114,2021-11,1212122.0,0.0,1.1,80577
3819,0000921114,2022-02,3614792.0,0.0,1.1,80577
3820,0000921114,2022-04,5385208.0,0.0,1.1,80577
3821,0000921114,2023-12,200000.0,0.0,1.1,80577
3822,0000921114,2024-03,70000.0,0.0,1.1,80577
3823,0000928658,2018-01,0.0,92653.0,0.9,80969
3824,0000928658,2018-02,0.0,25773.0,0.9,80969
3825,0000928658,2018-03,0.0,143177.0,0.9,80969
3826,0000928658,2018-05,587586.0,2082.0,1.1,80969
3827,0000928658,2018-08,65242.0,1709.0,1.1,80969
3828,0000928658,2018-09,0.0,20981.0,0.9,80969
3829,0000928658,2018-11,18659.0,3891.0,1.1,80969
3830,0000928658,2019-01,0.0,54588.0,0.9,80969
3831,0000928658,2019-03,0.0,162149.0,0.9,80969
3832,0000928658,2019-05,204255.0,0.0,1.1,80969
3833,0000928658,2019-06,5000.0,0.0,1.1,80969
3834,0000928658,2019-07,1303100.0,1021766.0,1.1,80969
3835,0000928658,2019-09,417192.0,0.0,1.1,80969
3836,0000928658,2019-11,0.0,6000.0,0.9,80969
3837,0000928658,2019-12,0.0,389.0,0.9,80969
3838,0000928658,2020-01,0.0,376590.0,0.9,80969
3839,0000928658,2020-02,0.0,140369.0,0.9,80969
3840,0000928658,2020-03,3000.0,0.0,1.1,80969
3841,0000928658,2020-06,1100002.0,0.0,1.1,80969
3842,0000928658,2020-07,324906.0,6701.0,1.1,80969
3843,0000928658,2020-08,82824.0,132624.0,0.9,80969
3844,0000928658,2020-11,1327922.0,100000.0,1.1,80969
3845,0000928658,2021-01,579114.0,1089714.0,0.9,80969
3846,0000928658,2021-02,54141.0,0.0,1.1,80969
3847,0000928658,2021-03,0.0,138745.0,0.9,80969
3848,0000928658,2021-04,1666672.0,0.0,1.1,80969
3849,0000928658,2021-05,195546.0,0.0,1.1,80969
3850,0000928658,2021-06,0.0,153392.0,0.9,80969
