Company,cik,permno
MAGNETEK INC,751085,75596
AVINGER INC,1506928,15172
SIMULA INC,885080,77509
CATHAY BANCORP INC,861842,76504
LUBYS INC,16099,64020
VIGNETTE CORP,1042185,86739
TRADESTATION GROUP INC,1111559,85486
MILLER EXPLORATION CO,1048740,85835
RAVISENT TECHNOLOGIES INC,1052593,87087
HARKEN ENERGY CORP,313478,40970
LADISH CO INC,814250,85880
CAVION TECHNOLOGIES INC,1081938,87305
HICKOK INC,47307,41823
GOTTSCHALKS INC,790414,69411
METROBANCORP,818999,80459
VARIAGENICS INC,1043082,88476
RELM WIRELESS CORP,2186,10779
ARCH COAL INC,1037676,75326
OWENS CORNING,1370946,24811
INTEGRATED DEVICE TECHNOLOGY,703361,44506
KATY INDUSTRIES INC,54681,45890
NEUROGEN CORP,849043,76000
VESTCOM INTERNATIONAL INC,1034941,85224
VOXWARE INC,933454,84146
ADVANCED POLYMER SYSTEMS INC,818033,11636
HOMESTORE COM INC,1085770,87165
ENERGIZER HOLDINGS INC,1096752,87659
DELPHI FINANCIAL GROUP INC,859139,76099
QAD INC,1036188,85314
WINN DIXIE STORES INC,107681,24803
REDWOODS ACQUISITION CORP,1907223,23052
NOLAND CO,72243,57780
UNITED RETAIL GROUP INC,881905,77403
KOALA CORP,913285,79710
UNIONBANCORP INC,1019650,84140
SERENA SOFTWARE INC,1073967,86735
SENSIENT TECHNOLOGIES CORP,310142,59619
PHARMCHEM INC,876645,76785
BETA OIL & GAS INC,1059324,87054
CENTRAL BANCORP INC,1076394,10769
CULP INC,723603,27909
1847 GOEDEKER INC,1810140,19515
BUCKEYE TECHNOLOGIES INC,899597,82635
CALIFORNIA WATER SERVICE GROUP,1035201,20750
ATMEL CORP,872448,76584
DOCUMENT SCIENCES CORP,1016831,83931
DATASCOPE CORP,27096,28840
AUTOIMMUNE INC,879106,78812
BACK YARD BURGER,901495,79252
BIRMINGHAM STEEL CORP,779334,85965
MISSISSIPPI CHEMICAL CORP,66895,80829
AVISTAR COMMUNICATIONS CORP,1111632,88503
YOCREAM INTERNATIONAL INC,821572,11805
INTEGRAL SYSTEMS INC,718130,76372
BIOCRYST PHARMACEUTICALS INC,882796,80306
TRIZETTO GROUP INC,1092458,87350
STONE ENERGY CORP,904080,79444
CEL SCI CORP,725363,44813
LEVEL 8 SYSTEMS INC,945384,81849
CHARLES & COLVARD LTD,1015155,85539
JOURNAL REGISTER CO,1035815,84779
GLOBIX CORP,1003111,82810
PHARMACEUTICAL RESOURCES INC,878088,61138
WASHINGTON POST CO,104889,53225
MANUFACTURERS SERVICES LTD,940298,88308
PAXSON COMMUNICATIONS CORP,923877,81097
GREATER COMMUNITY BANCORP,773845,84806
MATEC CORP,85608,35705
AVID TECHNOLOGY INC,896841,78955
HORIZON OFFSHORE INC,1051431,85986
FLOUR CITY INTERNATIONAL INC,1049049,86216
TRI COUNTY BANCORP INC,908475,79627
AMPCO PITTSBURGH CORP,6176,18075
INTERNATIONAL ISOTOPES INC,1038277,85296
DIGITAS INC,1100885,87763
APPLIED DIGITAL SOLUTIONS INC,924642,82248
BALDWIN PIANO & ORGAN CO,797315,10745
EVOKE COMMUNICATIONS INC,1046832,88440
RITA MEDICAL SYSTEMS INC,1056421,88463
CHASE CORP,830524,82542
PATRIOT NATIONAL BANCORP INC,1098146,80837
VESTA INSURANCE GROUP INC,911576,79927
AMERICAN NATIONAL FINANCIAL INC,1068843,86710
GUESS INC,912463,83822
MAIL WELL INC,920321,82266
MEDICHEM LIFE SCIENCES,1115512,88734
SPIRE CORP,731657,72232
VAIL BANKS INC,1035770,86516
PROLONG INTERNATIONAL CORP,1016965,86131
PINNACLE SYSTEMS INC,774695,81098
VISTA MEDICAL TECHNOLOGIES INC,1035181,85225
FIRST REGIONAL BANCORP,356708,39766
VULCAN INTERNATIONAL CORP,848446,45348
SPECIALTY LABORATORIES INC,1123333,88855
TRAVIS BOATS & MOTORS INC,1012734,83702
BROADWING INC,716133,47677
SOURCINGLINK NET INC,825517,87512
HANGER ORTHOPEDIC GROUP INC,722723,10051
EBIX COM INC,814549,11481
MIDLAND CO,66025,48901
RELIV INTERNATIONAL INC,768710,79065
PETROCORP INC,911359,79728
TRIQUINT SEMICONDUCTOR INC,913885,80049
SEMITOOL INC,934550,81275
SWANK INC,95779,44345
QUEST SOFTWARE INC,1088033,87182
EQUINIX INC,1101239,89617
MUSICMAKER COM INC,1079786,87072
WESTERN WIRELESS CORP,930738,83581
PHOENIX INVESTMENT PARTNERS LTD,883237,82648
ABGENIX INC,1052837,86235
ECLIPSE SURGICAL TECHNOLOGIES IN,863680,83500
BANCINSURANCE CORP,276400,76308
HOVNANIAN ENTERPRISES INC,357294,65285
FINOVA GROUP INC,883701,77464
CAMCO FINANCIAL CORP,16614,81148
ARRAY BIOPHARMA INC,1100412,88790
BIO REFERENCE LABORATORIES INC,792641,10659
SYNERGY BRANDS INC,870228,79500
JONES APPAREL GROUP INC,874016,76638
SOUTHWEST SECURITIES GROUP INC,878520,77043
TALBOTS INC,912263,79922
DRESS BARN INC,717724,30737
INGRAM MICRO INC,1018003,84168
CODORUS VALLEY BANCORP INC,806279,84725
FIBERSTARS INC,924168,80812
THORATEC LABORATORIES CORP,350907,76100
CENTRAL GARDEN & PET CO,887733,77780
ANSYS INC,1013462,83621
HOME FEDERAL BANCORP,1283858,11866
TRICORD SYSTEMS INC,837166,79016
CLAYTON WILLIAMS ENERGY INC,880115,79159
SANGSTAT MEDICAL CORP,913610,80030
FIRSTFED AMERICA BANCORP INC,1023640,84390
LANDRYS SEAFOOD RESTAURANTS INC,908652,79502
STAAR SURGICAL CO,718937,72304
SUPERIOR FINANCIAL CORP,1060770,87421
THERMA WAVE INC,828119,87639
SOMERA COMMUNICATIONS INC,1094243,87457
MITY ENTERPRISES INC,921030,80460
TRIARC COMPANIES INC,30697,19828
COSMOS HOLDINGS INC,1474167,22771
SEMTECH CORP,88941,50948
RELIABILITY INC,34285,66369
ALLIED HOLDINGS INC,909950,79591
PRODUCTIVITY TECHNOLOGIES CORP,911787,83894
TOO INC,1085482,87149
RADIANT SYSTEMS INC,845818,84561
APHTON CORP,840319,76880
IDENTIX INC,735780,88832
DMC STRATEX NETWORKS INC,812703,11347
LIGHTNING ROD SOFTWARE INC,866283,76510
ULTRADATA SYSTEMS INC,931947,81283
WESCO INTERNATIONAL INC,929008,86876
EGREETINGS NETWORK INC,1083992,87486
SAFEGUARD SCIENTIFICS INC,86115,46340
AETHER SYSTEMS INC,1093434,87298
INPRIMIS INC,895642,78869
LABOR READY INC,768899,83671
EATERIES INC,796369,10571
HARLAND JOHN H CO,45599,50905
WASTE CONNECTIONS INC,1057058,86097
ARROW MAGNOLIA INTERNATIONAL INC,61494,83236
PENN OCTANE CORP,893813,82737
COMMUNICATION INTELLIGENCE CORP,727634,83742
APPLIED INNOVATION INC,798399,79148
GAINSCO INC,786344,10822
BIORELIANCE CORP,1036629,85165
MEDIABAY INC,1040973,85415
ALBANY MOLECULAR RESEARCH INC,1065087,86709
EXTREME NETWORKS INC,1078271,86822
TEXAS BIOTECHNOLOGY CORP,887023,81066
NASTECH PHARMACEUTICAL CO INC,737207,80004
COPART INC,900075,80320
COVENTRY HEALTH CARE INC,1054833,76619
KALOBIOS PHARMACEUTICALS INC,1293310,13755
ANGEION CORP,815093,75580
LARSCOM INC,1024047,84317
MOVIE GALLERY INC,925178,80831
ONEIDA FINANCIAL CORP,1485001,86533
FIBERNET TELECOM GROUP INC,1001868,88161
CHECK TECHNOLOGY CORP,350692,22913
ELECTROGLAS INC,902281,79262
ANC RENTAL CORP,1097523,88323
METALCLAD CORP,13547,11901
FLEXSTEEL INDUSTRIES INC,37472,36768
INTEGRAL AD SCIENCE HOLDING CORP,1842718,21554
GENTA INC,880643,77180
GTSI CORP,850483,76843
ALCIDE CORP,708484,11624
PENN TREATY AMERICAN CORP,814181,11713
AUTOTOTE CORP,750004,79338
UNITED HERITAGE CORP,354567,28223
LOGILITY INC,1043915,85477
CROWN ANDERSEN INC,778808,87119
NEW FRONTIER MEDIA INC,847383,85838
WEBSTER FINANCIAL CORP,801337,10932
CREDENCE SYSTEMS CORP,893162,79683
ORBITAL SCIENCES CORP,820736,76139
SUCCESS BANCSHARES INC,1009569,85506
INTROGEN THERAPEUTICS INC,1018710,88730
INTERNET AMERICA INC,1001279,86501
FARO TECHNOLOGIES INC,917491,85372
MANCHESTER TECHNOLOGIES INC,1023876,84229
INTRUSION COM INC,736012,77624
WATER PIK TECHNOLOGIES,1094286,87449
SMART & FINAL INC,875751,76764
INNOVO GROUP INC,844143,76858
SERVOTRONICS INC,89140,50243
COLUMBIA BANCORP,1010002,80737
LANGER BIOMECHANICS GROUP,725460,48697
CANYON RESOURCES CORP,739460,10042
MARINEMAX INC,1057060,86128
ARMOR HOLDINGS INC,845752,83189
EXACTECH INC,913165,83503
W P CAREY & CO LLC,1025378,85763
INVERESK RESEARCH GROUP INC,1169358,89417
NETEGRITY INC,840824,75684
DUALSTAR TECHNOLOGIES CORP,929546,81246
XO COMMUNICATIONS INC,1111634,85388
KEWAUNEE SCIENTIFIC CORP,55529,47571
SHOP AT HOME INC,810029,81739
QUANEX CORP,276889,42307
LAKELAND BANCORP INC,846901,87614
PLANETCAD INC,852437,84039
PENN NATIONAL GAMING INC,921738,80563
INTERNET SECURITY SYSTEMS INC,1053148,85879
STAMPS COM INC,1082923,87000
REYNOLDS & REYNOLDS CO,83588,66799
CHAMPION INDUSTRIES INC,19149,78816
P COM INC,935493,81502
YOUNG INNOVATIONS INC,949874,85590
CUNO INC,1019779,83926
GROUP 1 AUTOMOTIVE INC,1031203,85427
MANAGEMENT NETWORK GROUP INC,1094814,87424
UBIQUITEL INC,1108487,88383
BARR LABORATORIES INC,10081,11415
DESIGN WITHIN REACH INC,1116755,90224
UNITED STATES EXPLORATION INC,847074,79118
CALLOWAYS NURSERY INC,874759,76713
REDHOOK ALE BREWERY INC,892222,82176
ACTUATE CORP,1062478,86236
ADVANCED NUTRACEUTICALS INC,913614,81885
ZEBRA TECHNOLOGIES CORP,877212,76795
MONARCH CASINO & RESORT INC,907242,79507
BRIGHTPOINT INC,918946,80439
MICROWAVE FILTER CO INC,716688,53656
BALTEK CORP,9442,16468
POLYCOM INC,1010552,83405
ALLIANCE PHARMACEUTICAL CORP,736994,60090
FIRST ECOM COM INC,1095070,88344
GENESCO INC,18498,21055
CANTEL MEDICAL CORP,19446,22825
CORPORATE EXECUTIVE BOARD CO,1066104,86720
FIRSTWAVE TECHNOLOGIES INC,897078,78959
SEACOR SMIT INC,859598,78137
WORTHINGTON INDUSTRIES INC,108516,83601
MICRO LINEAR CORP,875359,80993
AMERICAN FREIGHTWAYS CORP,846729,75483
BED BATH & BEYOND INC,886158,77659
ENTRADE INC,897265,31472
ECLIPSYS CORP,1034088,86323
ST JOE CO,745308,76123
HECTOR COMMUNICATIONS CORP,863437,76366
HOLLINGER INTERNATIONAL INC,868512,80504
LANDACORP INC,1058177,87615
SOUTHWALL TECHNOLOGIES INC,813619,11393
AAIPHARMA INC,1013243,83918
BURKE MILLS INC,15486,19802
TECHNITROL INC,96763,44513
DIAMONDCLUSTER INTERNATIONAL INC,924940,84571
IXIA,1120295,88750
LONG ISLAND ICED TEA CORP,1629261,16175
VICOR CORP,751978,76128
GOLD BANC CORP INC,1015610,84214
VIRGINIA COMMERCE BANCORP,1099305,85406
DELTATHREE INC,1086740,87384
CREDIT ACCEPTANCE CORP,885550,77660
THOR INDUSTRIES INC,730263,76081
DEPARTMENT 56 INC,902270,79328
VALUE CITY DEPARTMENT STORES INC,874444,76673
COMPUTER SCIENCES CORP,23082,40125
ALLEGIANT BANCORP INC,703970,82469
ENTREMED INC,895051,83651
LANDEC CORP,1005286,83148
BELMONT BANCORP,726294,80958
ONYX PHARMACEUTICALS INC,1012140,83541
NATURES SUNSHINE PRODUCTS INC,275053,56945
INTERNATIONAL ELECTRONICS INC,717751,11794
JUPITER MEDIA METRIX INC,1039446,86902
REHABILICARE INC,64578,52469
MERITAGE CORP,833079,75342
LODGIAN INC,1066138,77873
CARRIER ACCESS CORP,1018074,86246
IMPSAT FIBER NETWORKS INC,1022329,87610
UTSTARCOM INC,1030471,87825
MOBILE MINI INC,911109,80254
FIRST INTERNATIONAL BANCORP INC,1040339,85373
MENS WEARHOUSE INC,884217,77516
CAREER EDUCATION CORP,1046568,85724
SALIX PHARMACEUTICALS LTD,1009356,88811
LAUNCH MEDIA INC,1076582,86832
LOUDEYE TECHNOLOGIES,1064648,87790
RESMED INC,943819,81736
ENESCO GROUP INC,93542,71124
O REILLY AUTOMOTIVE INC,898173,79103
VERSICOR INC,1052547,88578
GENERAL BINDING CORP,40461,38333
CHROMALINE CORP,1083301,87759
VAIL RESORTS INC,812011,84588
STARMET CORP,276331,58799
PARAMETRIC TECHNOLOGY CORP,857005,75912
BENCHMARK ELECTRONICS INC,863436,76224
WINLAND ELECTRONICS INC,749935,81651
STILLWATER MINING CO,931948,81173
PRIVATE MEDIA GROUP INC,1068084,86744
SILGAN HOLDINGS INC,849869,84563
PUBLICARD INC,81050,86521
PINNACLE DATA SYSTEMS INC,1004608,88596
MARISA CHRISTINA INC,923149,80648
CYTRX CORP,799698,10838
AMERISTAR CASINOS INC,912145,79795
MARINE PRODUCTS CORP,1129155,88895
ELECTRONICS FOR IMAGING INC,867374,77971
APPLIX INC,932112,81137
TREMONT ADVISERS INC,880320,87635
OLYMPIC STEEL INC,917470,80375
SONIC SOLUTIONS,916235,80279
NATIONAL DENTEX CORP,913616,80000
KOPIN CORP,771266,77515
LONG ISLAND FINANCIAL CORP,1070517,85736
ENHERENT CORP,1045560,85573
INFORTE CORP,1099944,87611
GREKA ENERGY CORP,840402,78906
UNITED STATIONERS INC,355999,79303
IMPERIAL PARKING CORP,1103389,87663
RUSH ENTERPRISES INC,1012019,83690
SHUFFLE MASTER INC,718789,78200
APPLIED SIGNAL TECHNOLOGY,741696,78953
BINDLEY WESTERN INDUSTRIES INC,722808,17962
HOME SECURITY INTERNATIONAL INC,1038262,85241
AUGUST TECHNOLOGY CORP,1063527,88324
FIDELITY NATIONAL FINANCIAL INC,809398,71909
VIVUS INC,881524,80485
BANK OF THE OZARKS INC,1038205,85198
GREENBRIAR CORP,105744,79066
STUDENT ADVANTAGE INC,1073508,86999
WELLS FINANCIAL CORP,934739,81590
FORRESTER RESEARCH INC,1023313,84210
RAINMAKER SYSTEMS INC,1094007,87414
OPLINK COMMUNICATIONS INC,1022225,88739
AMERICA WEST HOLDINGS CORP,1029863,80778
FIRST MERCHANTS CORP,712534,75605
STATEFED FINANCIAL CORP,912567,80151
ADTRAN INC,926282,80791
GENZYME CORP,732485,88838
BANK MUTUAL CORP,1123270,88792
TECHE HOLDING CO,934538,81533
CELL THERAPEUTICS INC,891293,84604
CLAIRES STORES INC,34115,67459
AMERIHOST PROPERTIES INC,778423,11358
SELECTIVE INSURANCE GROUP INC,230557,68292
CROSS TIMBERS OIL CO,868809,79212
HOLLYWOOD ENTERTAINMENT CORP,905895,79392
HAROLDS STORES INC,818682,11663
PETROLEUM DEVELOPMENT CORP,77877,62341
SPIEGEL INC,276641,11760
MAIN STREET & MAIN INC,847466,76385
FIRST SENTINEL BANCORP INC,1051092,77775
EROOMSYSTEM TECHNOLOGIES INC,1110361,88520
AFFINITY TECHNOLOGY GROUP INC,1007508,83348
TASTY BAKING CO,96412,42219
HOUSTON EXPLORATION CO,1015293,83991
IMPLANT SCIENCES CORP,1068874,86975
TICKETS COM INC,1038083,87422
BEACON POWER CORP,1103345,88791
TREVENA INC,1429560,14442
NEXTERA ENTERPRISES INC,1070534,86934
STANDARD REGISTER CO,93456,72494
BLUE MARTINI SOFTWARE,1077814,88425
PHOENIX GOLD INTERNATIONAL INC,943032,81637
DYNAMIC MATERIALS CORP,34067,33823
IVILLAGE INC,1074767,86777
ADOLOR CORP,1076167,88784
DIAMETRICS MEDICAL INC,895380,79480
FARMER BROTHERS CO,34563,34367
NORTH COUNTRY FINANCIAL CORP,36506,89109
KERYX BIOPHARMACEUTICALS INC,1114220,88451
GARDENBURGER INC,859735,77671
ALPHA HOSPITALITY CORP,906780,79790
SITEL CORP,943820,81747
ELECSYS CORP,914398,79797
ADVANCED ENERGY INDUSTRIES INC,927003,82547
SHORE FINANCIAL CORP,1045690,85317
AMERICAN BIO MEDICA CORP,896747,85671
VANTAGEMED CORP,1099531,87641
AMERICAN DENTAL PARTNERS INC,1028087,85959
FIDELITY BANKSHARES INC,1028336,80121
CAPITAL CORP OF THE WEST,1004740,82813
EVOLVE SOFTWARE INC,1097002,88522
MAIN STREET BANKS INC,922244,84736
GENELABS TECHNOLOGIES INC,874443,76699
STEPHAN CO,94056,84911
ASTROPOWER INC,885672,85802
LIVEPERSON INC,1102993,88174
NETSOLVE INC,1071342,87247
TELIGENT INC,1047021,85581
TEAM INC,318833,65752
RURAL METRO CORP,906326,79417
CENTER BANCORP INC,712771,83642
DELTEK SYSTEMS INC,1029299,84526
FIND SVP INC,801338,10806
ORTHOFIX INTERNATIONAL N V,884624,78756
NETWORKS ASSOCIATES INC,890801,77976
I STAT CORP,882365,77356
PUMATECH INC,1020716,84329
CASTLE ENERGY CORP,709355,54245
AMERUS GROUP CO,1051717,84406
SOFTNET SYSTEMS INC,97196,43617
KNAPE & VOGT MANUFACTURING CO,56362,47969
CALPINE CORP,916457,83981
MONMOUTH CAPITAL CORP,67618,54974
UNION BANKSHARES INC,706863,89279
UNITED PANAM FINANCIAL CORP,1049231,86006
GRAY COMMUNICATIONS SYSTEMS INC,43196,83989
ANDREA ELECTRONICS CORP,6494,29073
METROMEDIA FIBER NETWORK INC,1043533,85479
STANDEX INTERNATIONAL CORP,310354,43481
TRANSTECHNOLOGY CORP,99359,61209
INTERNATIONAL RECTIFIER CORP,316793,27705
AVAX TECHNOLOGIES INC,1015441,85161
CIENA CORP,936395,84519
KEY3MEDIA GROUP INC,1113674,88486
CYGNUS INC,870755,76910
ENTRAVISION COMMUNICATIONS CORP,1109116,88485
ADAMS GOLF INC,1059763,86237
COLONELS INTERNATIONAL INC,771249,82816
TRIPLE S PLASTICS INC,918642,80370
WERNER ENTERPRISES INC,793074,10397
WILD OATS MARKETS INC,909990,84111
ALEXANDER & BALDWIN INC,3453,11691
PERFORMANCE TECHNOLOGIES INC,1003950,82839
CREDIT SUISSE FIRST BOSTON USA,29646,86867
LIFE FINANCIAL CORP,1028918,85020
CABOT MICROELECTRONICS CORP,1102934,88152
CHART INDUSTRIES INC,892553,78786
HAIN CELESTIAL GROUP INC,910406,80167
ISONICS CORP,1023966,88449
XOMA LTD,791908,10333
NEOGEN CORP,711377,75976
GULFMARK OFFSHORE INC,1030749,84808
REUNION INDUSTRIES INC,1003429,79732
AMERICAN WOODMARK CORP,794619,10501
ROGUE WAVE SOFTWARE INC,1023184,84253
PERVASIVE SOFTWARE INC,1042821,85395
MUELLER PAUL CO,68726,55467
BRIO TECHNOLOGY INC,1056294,86054
LENNAR CORP,920760,52708
INFORMATION ARCHITECTS CORP,1018336,85673
ONE PRICE CLOTHING STORES INC,812446,11342
BADGER METER INC,9092,53110
MANNATECH INC,1056358,86728
PHOTO CONTROL CORP,78311,62763
SECURITY CAPITAL GROUP INC,923687,85344
NEW VALLEY CORP,106374,88639
IMAGE ENTERTAINMENT INC,216324,11873
WJ COMMUNICATIONS INC,105006,88583
MOLECULAR DEVICES CORP,1003113,82722
NOVATEL WIRELESS INC,1022652,88807
STERIS CORP,815065,77649
PHOTOMEDEX INC,711665,88258
CONNETICS CORP,1004960,83121
BIOANALYTICAL SYSTEMS INC,720154,85526
YELLOW CORP,716006,59483
BEBE STORES INC,1059272,86150
7 ELEVEN INC,92344,77015
FULL HOUSE RESORTS INC,891482,79490
GENRAD INC,40972,62260
MEADOW VALLEY CORP,934749,82507
EUFAULA BANCCORP INC,836043,83501
EXCHANGE NATIONAL BANCSHARES INC,893847,88341
OAO TECHNOLOGY SOLUTIONS INC,1043476,85485
HOLOGIC INC,859737,76095
TRIMEDYNE INC,357001,77332
ALBERTO CULVER CO,3327,69163
OCTEL CORP,1054905,86026
HUDSON UNITED BANCORP,703559,65939
LEVEL 3 COMMUNICATIONS INC,794323,85991
ORBSAT CORP,1058307,21323
SINCLAIR BROADCAST GROUP INC,912752,81740
ONTRO INC,1037827,86078
MORTON INDUSTRIAL GROUP INC,64247,86361
CATUITY INC,1109740,88831
PROTEIN DESIGN LABS INC,882104,77292
PLANET ZANETT INC,1133872,82554
EUROWEB INTERNATIONAL CORP,905428,79393
KRISPY KREME DOUGHNUTS INC,1100270,88172
FAMOUS DAVES OF AMERICA INC,1021270,84203
ECHELON CORP,31347,86260
TRIKON TECHNOLOGIES INC,868326,82207
CELSION CORP,749647,88208
DIXON TICONDEROGA CO,14995,30307
LEGATO SYSTEMS INC,859360,81877
DURASWITCH INDUSTRIES INC,1054070,87138
LONGVIEW FIBRE CO,60302,50092
MARITRANS INC,810113,75077
LAKELAND FINANCIAL CORP,721994,85299
DIMON INC,939930,29867
PACIFIC GATEWAY EXCHANGE INC,1004967,83780
COLUMBIA LABORATORIES INC,821995,12149
VENTANA MEDICAL SYSTEMS INC,893160,83807
WADDELL & REED FINANCIAL INC,1052100,86380
PEAPOD INC,1036992,85030
AMERICAN PACIFIC CORP,350832,85439
ENCORE WIRE CORP,850460,77785
HEARTLAND EXPRESS INC,799233,10812
ON COMMAND CORP,1020871,84112
TEKTRONIX INC,96879,40061
INSIGHT HEALTH SERVICES CORP,1012697,83765
SPORT HALEY INC,892653,80479
RADISYS CORP,873044,82521
PEOPLES SIDNEY FINANCIAL CORP,1031340,84756
PACIFIC CENTURY FINANCIAL CORP,46195,16548
WSFS FINANCIAL CORP,828944,10892
COASTCAST CORP,914479,80076
FREDS INC,724571,77420
AMERICAN ITALIAN PASTA CO,849667,85411
INFOCUS CORP,845434,76507
INVIVO CORP,806168,11138
COHU INC,21535,30648
GREEN DANIEL CO,26820,75897
ASTORIA FINANCIAL CORP,910322,79796
TWINLAB CORP,1015868,84274
BON TON STORES INC,878079,76847
PENNICHUCK CORP,788885,77798
BANTA CORP,9801,16890
POPE & TALBOT INC,311871,56143
OLD DOMINION FREIGHT LINE INC,878927,77037
INTERPHASE CORP,728249,45560
ANDERSEN GROUP INC,6383,14286
EVERGREEN SOLAR INC,947397,88799
BLAIR CORP,71525,34649
CARESCIENCE INC,1108782,88328
FOOTHILL INDEPENDENT BANCORP,718903,75616
OPTI INC,899297,79183
EVOLVING SYSTEMS INC,1052054,86062
LUCILLE FARMS INC,908179,79845
REGENERON PHARMACEUTICALS INC,872589,76614
QUERYOBJECT SYSTEMS CORP,855743,88599
RIBOZYME PHARMACEUTICALS INC,892112,83412
NEWMARK HOMES CORP,1046578,85882
MODINE MANUFACTURING CO,67347,54704
NETIQ CORP,1084827,87081
VALMONT INDUSTRIES INC,102729,80128
COVAD COMMUNICATIONS GROUP INC,1043769,86569
BOYDS COLLECTION LTD,1074530,86748
CENTILLIUM COMMUNICATIONS INC,1107194,88248
INTERNATIONAL FIBERCOM INC,924632,80823
MATRITECH INC,884847,77767
DELTA APPAREL INC,1101396,88287
OBJECTSOFT CORP,896145,84244
DEARBORN BANCORP INC,895541,85976
AVTEAM INC,1013787,85454
CIMA LABS INC,833298,80740
VIRAGE LOGIC CORP,1050776,88580
DECODE GENETICS INC,1022974,88432
SEQUA CORP,95301,72741
SOUTH STREET FINANCIAL CORP,1014964,84131
OFFICE DEPOT INC,800240,75573
STRATASYS INC,915735,81010
C & F FINANCIAL CORP,913341,85725
BROWN TOM INC,14803,19546
GREAT PEE DEE BANCORP,1046587,85708
E COM VENTURES INC,880460,77186
SCHOOL SPECIALTY INC,1055454,86189
PULITZER INC,1082913,86758
BENTLEY PHARMACEUTICALS INC,821616,10574
H POWER CORP,1094959,88529
REGAL BELOIT CORP,82811,58771
OVERLAND DATA INC,889930,84555
RUSHMORE FINANCIAL GROUP INC,884892,85999
TELEPHONE & DATA SYSTEMS INC,1051512,63773
SYLVAN LEARNING SYSTEMS INC,912766,80037
EAGLE FOOD CENTERS INC,30908,75659
ANDREW CORP,317093,14323
SPECTRX INC,924515,85212
SPEEDWAY MOTORSPORTS INC,934648,81292
SOURCE INFORMATION MANAGEMENT CO,943605,83170
ALNYLAM PHARMACEUTICALS INC,1178670,90178
DECORATOR INDUSTRIES INC,27613,60273
NEWMIL BANCORP INC,807524,10056
ASYST TECHNOLOGIES INC,909326,79568
NEOMEDIA TECHNOLOGIES,1022701,84239
MARTEN TRANSPORT LTD,799167,75517
TAKE TO AUCTION COM INC,1093837,88316
CARROLLTON BANCORP,859222,80517
ARROW FINANCIAL CORP,717538,15070
HINES HORTICULTURE INC,1003515,86171
LEXAR MEDIA INC,1058289,88539
TRANSGENOMIC INC,1043961,88471
ORASURE TECHNOLOGIES INC,1116463,10860
U S PAWN INC,844789,75755
HUMAN GENOME SCIENCES INC,901219,79977
INTERVEST BANCSHARES CORP,927807,85559
PROBEX CORP,845880,87582
SIFCO INDUSTRIES INC,90168,49138
ALLEN ORGAN CO,3753,11851
SHORELINE FINANCIAL CORP,822697,11938
ARTHROCARE CORP,1005010,83113
SEROLOGICALS CORP,767673,81743
STARBASE CORP,911577,83963
YOUBET COM,814055,87005
KEY TECHNOLOGY INC,906193,79399
A CONSULTING TEAM INC,1040792,85320
UNIFI INC,100726,78044
HUDSON TECHNOLOGIES INC,925528,81084
CONRAD INDUSTRIES INC,1059167,86156
FINLAY ENTERPRISES INC,878731,81553
ON TECHNOLOGY CORP,925288,82204
PATHMARK STORES INC,95585,88643
HUMAN PHEROMONE SCIENCES INC,878616,78822
SAFENET INC,850313,78106
COLONY BANKCORP INC,711669,85966
BIO TECHNOLOGY GENERAL CORP,722104,18033
ALLMERICA FINANCIAL CORP,944695,82292
WIRELESS FACILITIES INC,1069258,87430
COMFORCE CORP,6814,68523
ASHLAND INC,1305014,24272
COMMUNITY TRUST BANCORP INC,350852,11844
IOMEGA CORP,352789,45891
TORO CO,737758,60580
TEKELEC,790705,10272
MOBIUS MANAGEMENT SYSTEMS INC,1025148,85993
SOURCE MEDIA INC,900029,82750
AVT CORP,931784,81142
Z TEL TECHNOLOGIES INC,1096509,87518
SMARTSERV ONLINE INC,1005698,83316
TOMPKINS TRUSTCO INC,1005817,10308
PACIFICHEALTH LABORATORIES INC,1000278,85709
WINK COMMUNICATIONS INC,1062157,87193
PROXYMED INC,906337,79518
GARDEN FRESH RESTAURANT CORP,942133,81626
LITTLEFIELD CORP,931683,81145
ALLEGHENY ENERGY INC,3673,10137
INTERNATIONAL BANCSHARES CORP,315709,85875
PEERLESS MANUFACTURING CO,76954,61787
BAYFIRST FINANCIAL CORP,1649739,22280
NORTHWEST AIRLINES CORP,917678,80345
VENATOR GROUP INC,850209,15456
ORGANOGENESIS INC,779733,10928
MAXCYTE INC,1287098,21745
INTELLICORP INC,730169,44565
COMMERCIAL BANKSHARES INC,354562,79682
NORTH VALLEY BANCORP,353191,85996
IMATRON INC,720477,43749
TECHNOLOGY SOLUTIONS CO,877645,76846
MESA LABORATORIES INC,724004,53074
BLONDER TONGUE LABORATORIES INC,1000683,82768
CHITTENDEN CORP,200138,23326
MAPICS INC,848551,76259
MEDICAL ADVISORY SYSTEMS INC,771252,87035
MENTOR GRAPHICS CORP,701811,52813
BOYD GAMING CORP,906553,79758
ELCOR CORP,32017,44185
GENESEE & WYOMING INC,1012620,83661
INTUITIVE SURGICAL INC,1035267,88352
FINISH LINE INC,886137,77669
CYBERSOURCE CORP,934280,86958
TECH OPS SEVCON INC,825411,75272
COWLITZ BANCORPORATION,894267,85865
MAXYGEN INC,1068796,87499
