Company,cik,permno
AMERICAN RIVER HOLDINGS,1108236,88719
MERIX CORP,921365,80553
STRAYER EDUCATION INC,1013934,83799
COLONIAL BANCGROUP INC,92339,24628
HEALTHSOUTH CORP,785161,10693
ENERGY CONVERSION DEVICES INC,32878,32636
NATIONAL BEVERAGE CORP,69891,76839
CHESTER BANCORP,1010838,84063
ACCESS ANYTIME BANCORP,1024015,10650
HEALTH NET INC,916085,76697
JONES LANG LASALLE INC,1037976,85246
SNYDER COMMUNICATIONS INC,1017906,87308
MICHAEL ANTHONY JEWELERS INC,799515,10761
GEHL CO,856386,75861
ZAPME CORP,1084561,87328
UNITED INDUSTRIAL CORP,101271,41371
INTERNAP NETWORK SERVICES CORP,1056386,87236
SUNAIR ELECTRONICS INC,95366,37022
FEDERAL SIGNAL CORP,277509,47706
HEMISPHERX BIOPHARMA INC,946644,83762
REDBACK NETWORKS INC,1081290,86914
IMAGINON INC,899444,81199
ALLEGHENY TECHNOLOGIES,1602701,43123
REPUBLIC BANCSHARES INC,1005501,80029
OPTION CARE INC,884064,77517
ORIENTAL FINANCIAL GROUP INC,1030469,11208
CYMER INC,897067,83928
TETRA TECHNOLOGIES INC,844965,76127
CYTEC INDUSTRIES INC,912513,80079
GENAISSANCE PHARMACEUTICALS INC,1110009,88527
WORKGROUP TECHNOLOGY CORP,1007021,83322
ENERGEN CORP,277595,26470
UNIVERSAL ELECTRONICS INC,101984,78915
WESTBANK CORP,742070,81019
SONIC FOUNDRY INC,1029744,85953
CROWN GROUP INC,799850,11174
SMURFIT STONE CONTAINER CORP,919226,80543
ORLEANS HOMEBUILDERS INC,38570,54439
